SOURCE	LISTING_NUM	ADDRESS_ID	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE	PROPERTY_TYPE	LISTING_PRICE	INACT_SELLING_PRICE	BEDROOMS	BATHROOMS	HOME_SQ_FEET	ROOF_TYPE	LOT_SQ_FEET	POOL_TYPE	PARKING	VIEWS	LAUNDRY_ROOM	YEAR_BUILT	STORIES	FIREPLACE	LOT_DESC	STYLE	HEATING_DESCRIPTION	COOLING_DESCRIPTION	EXTERIOR	FLOORS	HOA	AMENITIES	HAS_PRIVATE_POOL	HAS_COMMUNITY_POOL	HAS_GARAGE	HAS_CARPORT	DOM	CLIENT_COMMENT1
a	81342039	10991542	638 Railroad Avenue	South San Francisco	CA	94080	37.65506744	-122.4221802	SFR	398000	400000	3	2	1180	Shingle	4680	(null)	"Detached, 2 Car Garage"	(null)	In Garage	1944	(null)	(null)	(null)	(null)	Central Forced Air	(null)	(null)	"Area Carpeting, Tile"	(null)	(null)	0	0	0	0	196	Great investment opportunity or owner occupy. Home needs TLC but it is a great potential. Tile flooring. Hickory kitchen cabinets. spacious back yard and much more.
a	81410331	11749256	100 Hare Way	Boulder Creek	CA	95006	37.15370941	-122.1632462	SFR	679000	685000	3	2.5	2100	Composition	9453	(null)	2 Car Garage	Green Belt	(null)	1977	(null)	Y	(null)	Contemporary	Central Forced Air	No Cooling	Wood	(null)	(null)	(null)	0	0	0	0	44	"This contemporary 3 bedroom home in located in the Redwood Forest on the Boulder Country Club Golf Course. The main level features the gourmet kitchen, formal dining room, wet bar, sunken living room, half bath & Ipe 1000 sqft deck with built in hot-tub and privacy screens. The upstairs includes 3 bedrooms, a master suite with private deck and fireplace and two smaller conventional bedrooms."
d	40650460	4171956	1128 Westmoreland Cir	Walnut Creek	CA	94596	37.87820816	-122.0269699	TOWNHOUSE	599000	589000	3	2	1417	Composition Shingles	3128	"Community Facility, Pool"	"2 Garage Spaces, Attached Garage"	Wooded	"Dryer, In Laundry Room, Washer"	1973	1	Y	(null)	Traditional	Forced Air 1 Zone	"Central 1 Zone A/C, Window / Wall Unit(s)"	Stucco	"Hardwood Floors, Tile, Wall to Wall Carpet"	270	"Mirrored Closet Door(s), Window Coverings"	1	0	0	0	42	"Beautiful single story Rudgear Estates townhouse. Nicely updated bamboo floors & custom cabinetry in kitchen & baths. Vaulted ceiling in living room, eat-in kitchen, dining room, w/ idyllic yard that backs to creek. Enjoy outdoor living with nearby Rudgear Park & trails. OPEN Sun 4/6 from 1-4 pm."
a	81423234	11528963	2126 Amstel Court	San Jose - East Valley	CA	95116	37.360523	-121.851303	TOWNHOUSE	398000	380000	4	2.5	1474	Composition	1012	(null)	2 Car Carport	Neighborhood	220 Volt Outlet	1977	(null)	(null)	(null)	(null)	Gas	(null)	(null)	"Area Carpeting, Tile, Laminate, Linoleum or Vinyl"	230	"Window Covering(s), Double Pane Window(s), TV Antenna"	0	0	0	0	52	"Spacious.Updated townhome 4 bed,2.5 bath,Light & bright unit w/Open floor plan. Remodeled kitchen w/Gorgeous cainetry,Granite counter tops.Tile & carpet floor.Large master room w/large closet.D/P window.Large Patio w/Extra storage.XLNT commute location!Close to supermarket,school, library, park, shopping center, easy access to 680/101.Buyer not perform.Very motivated Seller.Go direct"
b	419944	10542837	16 Napier Ln	SF - Telegraph Hill	CA	94133	37.80229412	-122.4037933	CONDO	1395000	1725000	2	3.5	1800	(null)	(null)	(null)	1 Garage Space	"Panoramic, City Lights, Water, Bay, Bay Bridge, Hills, Mountains"	"Washer/Dryer, In Closet"	1991	(null)	Y	(null)	Contemporary	Central Heat	(null)	Wood Siding	"Hardwood, Tile"	(null)	(null)	0	0	0	0	20	"Welcome to 16 Napier Lane, one of SF's hidden treasures located on the eastern slope of Telegraph Hill! This enclave of mid-1800&#8242;s Victorian homes is situated just off the historic Filbert Steps on a wooden plank path, surrounded by lush landscaping & aromatic gardens. This unit is an extremely rare offering, as it is one of the few contemporary homes in the area. Built in 1991, the condo boasts HUGE Bay & Bridge views. European-style kitchen & appliances by Gaggenau & Miele, breakfast bar + casual dine-in area. Open floorplan w/fireplace, built-ins & picture windows. Master suite w/luxe bath, laundry & walk-in closet. Bedrooms 2 & 3 are flexible in their use & there are 3.5 baths. Oversized deck w/views!! Leased pkg close by."
a	81422834	3867421	1045 Glenhill Drive	Fremont	CA	94539	37.52998	-121.931763	SFR	1249000	1380000	4	3	1866	"Shingle, Composition"	8931	(null)	"Attached, 2 Car Garage"	(null)	"In Garage, 220 Volt Outlet"	1978	(null)	Y	(null)	Contemporary	Central Forced Air	(null)	(null)	"Tile, Laminate, Wall to Wall Carpet"	(null)	"Garden Window(s), High Ceiling"	0	0	0	0	26	"Fabulous Mission SJ home. 4bd,3ba, 1bd & 1ba downstairs,new carpet, newer roof (4yrs new), new basebd, RV access, upgraded kit w/Quartz top, all remodeled baths, high ceiling, upgraded f/p, huge walk-in attice storage,redwd deck,lge storage shed.Excellent condition. O/H Sat & Sun 1-5pm."
a	81412457	11453209	5135 Capanelle Terrace	San Jose - West	CA	95129	37.29341888	-121.9919968	TOWNHOUSE	798000	850000	3	2.5	1409	Tile	1000	(null)	2 Car Garage	Neighborhood	Dryer Included	2006	(null)	Y	Corner	Contemporary	Central Forced Air	Central Air	(null)	"Tile, Hardwood"	288	"Double Pane Window(s), Balcony or Patio"	0	0	0	0	19	"Magnificent TownHome with over $50K worth of upgrades built by Toll Brothers in 2006. Spacious 2 story TownHome 3 BR/2.5 Bath in a quite neighborhood. Perfect location, Great schools, No Back neighbors, Hard wood floors, Granite kitchen with full-splash, Pre-Wired surround sound system, Stainless Steel appliances, High ceilings, Designer carpet & More.WONT LAST. DONT MISS THIS GREAT OPPORTUNITY."
c	21413687	11964769	428 Piper St	Healdsburg	CA	95448	38.61387634	-122.8644028	SFR	1569000	1734000	2	2	2163	Composition	12336	In Ground	(null)	(null)	Hookups Only	1944	1	Y	City	Craftsman	Central Heat	(null)	Wood Siding	Hardwood	(null)	"DSL Available, PG&E, Cable TV"	1	0	0	0	41	The quintessential Healdsburg Craftsmen Bungalow just 4 blocks from the downtown Plaza. Rarely available deep & wide lot with sunny south facing backyard and verdant landscaping. Swimming pool and detached Pool house with full bathroom. Front and rear shade porches. Chefs kitchen with Wolf range and honed Carrara marble countertops. Attention to detail and quality are evident throughout the entire property.
c	21403575	11966600	727 Central Ave	Sonoma	CA	95476	38.31546783	-122.4759979	SFR	439000	415000	3	2	1230	Composition	10001	(null)	"2 Car, Detached"	(null)	"220 Volt Wiring, In Garage"	1966	1	Y	(null)	Bungalow	Central Heat	(null)	Stucco	"Laminate, Part Carpet, Tile, Wood"	(null)	Cable TV available	0	0	0	0	101	"Feels rustic but near town! Get ready to feel the quiet of the oak trees that line this property. A 3 bed, 2 ba ready for your vision. Hardwood floors will be refinished by the seller in addition to fresh carpet in the master bedroom. Nearly a qtr acre of native charm. Come home to Sonoma."
c	21403740	4264982	2357 Del Monte Dr	San Pablo	CA	94806	38.00875854	-122.3148499	SFR	335000	350000	3	2	1236	Composition	7000	(null)	"2 Car, Garage, Attached, Auto Door, Interior Access, RV / Boat Parking"	Bay	"Electric, In Garage"	1967	1	Y	Level	Bungalow	Central Heat	(null)	Stucco	"Part Carpet, Tile, Vinyl/Linoleum"	(null)	"Smoke Alarm(s), Electric Water Heater, Natural Gas, Satellite Dish"	0	0	0	0	71	"This home has just been rehabbed after several years as a rental property. New paint, carpets, some new fixtures, kitchen counter tops and much more. This home is clean and ready for a new owner. Walk to Pinole Shores Park."
a	81416887	85464115	396 Imperial Way #106	Daly City	CA	94015	37.66503525	-122.4634399	CONDO	375000	355000	1	1	817	(null)	1057906	Community Pool	"Attached, Guest Parking, Off Street Parking, 1 Car Garage"	(null)	(null)	1974	(null)	Y	(null)	Contemporary	Baseboard	(null)	(null)	(null)	362	(null)	0	0	0	0	98	"Back on market, no fault on property. Multiple offers received the first time. Nicely remodeled. Monarch plan with one bedroom & den (could be 2nd bedroom). Exceptional 1st floor unit, being in the first building from the guarded entrance. 2 decks & extra bathroom vanity. Many amenities including 2 pools, club house, gym, nice manicured landscape thru out, tennis courts, 24 hour security."
a	81421044	11061649	294 Devonshire Boulevard	San Carlos	CA	94070	37.49690247	-122.283432	SFR	1850000	1850000	2	1.5	1190	"Shingle, Composition"	16320	(null)	"Attached, 2 Car Garage"	"Canyon, Neighborhood"	(null)	1941	(null)	Y	Sloped Up	Traditional	Central Forced Air	(null)	Wood	"Wall to Wall Carpet, Hardwood, Linoleum or Vinyl"	(null)	(null)	0	0	0	0	10	"Beautiful property ideally located low in the hills at the cusp of the city and the country. Current home has 2 beds, 1.5 baths, with plans for 4 beds, 3.5 baths in place. Enjoy peaceful views from the proposed open concept living and family rooms, with 12-foot ceilings and a stunning fireplace. Unique opportunity to build your dream home on this spacious lot, and live the life you've imagined."
d	40652356	3643753	10920 Elvessa St	Oakland	CA	94605	37.75169373	-122.1290665	SFR	660000	660000	3	3	2357	Composition Shingles	13585	(null)	"2 Garage Spaces, Attached Garage"	(null)	220 Volt Outlet	1953	1	Y	Downslope	Ranch	Forced Air 1 Zone	Central 2 or more Zones A/C	Wood Siding	Hardwood Floors	(null)	(null)	0	0	0	0	77	"Updated Home in Clean Move In Condition, Spacious And Bright Floor Plan, Gleaming HW Floors, Newer Kitchen and Master Suite w\ Cozy Fireplace and Seating Area, New Paint, 3 Fireplaces, Redwood Deck perfect for Entertainment, Huge Lot, Quiet neighborhood w San Francisco Bay Views, Sewer and Termite Done.."
d	40655345	(null)	Address Withheld By Seller	Livermore	CA	94551	0	0	SFR	490500	490500	3	2	1040	Composition Shingles	6000	"Community Facility, Pool"	"2 Garage Spaces, Enclosed Garage, Garage Door Opener"	(null)	"Hookups Only, In Garage"	1971	1	Y	"Adjacent To / On Golf Course, Level"	Ranch	"Forced Air 1 Zone, Gas"	Central 1 Zone A/C	"Stone, Stucco"	"Laminate, Tile, Wall to Wall Carpet"	24	Window Coverings	1	0	0	0	41	"Complete Remodel, three bedroom, two bath, two car garage, 336 Sq. Ft. screened patio room with fireplace, new kitchen and bathrooms, recessed lighting, red oak laminate flooring, dual pane windows, central heat & air conditioning, community pool, sweeping view of seventh green, new landscaping."
d	40657282	(null)	Address Withheld By Seller	Martinez	CA	94553	0	0	SFR	709000	700000	4	3	2906	Tile	7600	Possible Pool Site	"2 Garage Spaces, Attached Garage"	(null)	In Laundry Room	1999	2	Y	Regular	Contemporary	Forced Air 2 Zones	Central 2 or more Zones A/C	Stucco	"Tile, Wall to Wall Carpet"	(null)	(null)	1	0	0	0	73	"Gorgeous Brittany Hills Olinda model with many upgrades. Custom paint throughout. Living room with vaulted ceiling, fireplace. Elegant kitchen with granite slab counters, stainless steel appliances, double oven, built-in refrigerator. Dual zone HVAC. Large, flat, professionally landscaped yard."
d	40662496	85680233	22173 N 6th St	Castro Valley	CA	94546	37.68471909	-122.0749893	SFR	499950	525000	3	2	1560	Composition Shingles	7674	(null)	"2 Garage Spaces, Attached Garage, Off Street Parking, Garage Door Opener"	(null)	"Hookups Only, In Garage"	1948	2	Y	"Court, Level, Premium Lot, Regular"	Traditional	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C"	"Composition Shingles, Stucco"	"Hardwood Floors, Wall to Wall Carpet"	(null)	Window Coverings	0	0	0	0	21	"Large Beautiful Updated Castro Valley 3 Bedroom 2 Bath Home Located Close To Shopping and Convenient Access To 580 Freeway. Updated Kitchen, Newer Electrical Upgrade, Dual Pane Windows, & A/C. 2 Bedrooms Downstairs & Master Bedroom & Bath Upstairs. Lrg 7664 Sq, Ft. Lot. Side Access Excellent Value!!"
a	81425015	11589040	3363 Holly Drive	San Jose - North Valley	CA	95127	37.386345	-121.835121	SFR	475000	490000	3	1	1006	Tar & Gravel	5000	(null)	"Attached, Gate/Door Opener, Off Street Parking, 1 Car Garage"	Mountains	"In Garage, In Laundry Room, Dryer, Washer, Hookup - Gas Dryer, 220 Volt Outlet"	1954	(null)	Y	(null)	Ranch	"Central Forced Air, Gas"	Central Air	Wood	"Tile, Hardwood"	(null)	"Security Fence, Vaulted Ceiling"	0	0	0	0	39	"Updated home with granite kitchen counters, stainless steel appliances including french door style refrigerator, beautiful hardwood floors throughout except for tile in kitchen and bathroom. Living room has exposed beam ceiling. Upgraded electrical panel to 200AMP. New Furnace/AC in 2010. Xeriscaped Front Landscaping, private front courtyard & Paver Stone patio in back. Open House 7/20/14 at 1-4PM"
c	21411791	(null)	Address Withheld By Seller	Santa Rosa	CA	95407	0	0	SFR	395000	440000	3	1	1516	(null)	216493	(null)	"2 Car, Detached, RV / Boat Parking"	Pasture	(null)	1941	2	Y	Level	Vintage	"Baseboard Heaters, Wall Furnace"	(null)	(null)	"Vinyl/Linoleum, Wall-to-Wall Carpet"	(null)	PG&E	0	0	0	0	63	"Country property w 2nd rental unit(mobile home). 4.97 acres w outbuildings, will need some work to shine. Good horse property plus income from rental. Home has some classic-lines w porte cochere. Fenced & cross-fenced. Please do not walk property."
d	40657205	85334853	3284 Marlene #4	Lafayette	CA	94549	37.89398956	-122.1014328	CONDO	479950	488888	3	1.5	1160	Composition Shingles	(null)	"Community Facility, Solar Heat, Pool"	"2 Garage Spaces, 1 Carport, Off Street Parking"	Greenbelt	"220 Volt Outlet, In Unit"	1981	2	(null)	(null)	Brown Shingle	Forced Air 1 Zone	Central 1 Zone A/C	Wood Shingles	"Hardwood Floors Throughout, Laminate, Tile"	380	(null)	0	0	0	0	25	"Best value & conveniently located in central lafayette. Well maintained corner unit! Three bedroom, 1.5 baths; open kitchen; dining area overlooking the exterior greenbelt. Laminated wood floors throughout. Spacious deck in back w/ storage. Bart, schools & dwntwn. W/n minutes. Ohs - 05/17; 05/18."
d	40661712	3821630	24824 Townsend Ave	Hayward	CA	94544	37.650547	-122.094002	SFR	425000	460000	3	2	1176	Composition Shingles	7112	(null)	"2 Garage Spaces, Attached Garage, Off Street Parking, Garage Door Opener"	(null)	In Closet	1957	1	Y	Regular	Traditional	Forced Air 1 Zone	(null)	Stucco	"Hardwood Floors, Tile, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	39	"Desirable parkmead neighborhood gem..Updated kitchen w/recessed lighting, crown moldings, huge back yard w/built in bbq pit, central heating, wall to wall rock gas fireplace, new exterior paint, new fence, new furnace, new water heater, new insulated roll up garage door & front/back sprinkler system."
a	81410596	11491869	2575 Gerald Way	San Jose - Willow Glen	CA	95125	37.28181458	-121.8877716	SFR	1099000	1150000	3	2	2164	Rock	9520	(null)	"Attached, 2 Car Garage"	(null)	(null)	1952	(null)	Y	(null)	Ranch	"Central Forced Air, Gas"	Central Air	(null)	"Hardwood, Marble"	(null)	(null)	0	0	0	0	41	"Beautifully remodeled throughout*3 bedrooms+stunning office*Kitch.has granite counters,2 ovens,wood floor,prep sink,walk-in pantry*Gorgeous remodeled baths w/travertine,cherry,granite*Two fireplaces,each with travertine surround*Serene back yard with koi pond,brick patio,fruit trees,lawn*""Edible"" front yard w/fruit&herbs*Crown molding*Hardwood floors*Plantation shutters*Central AC*Wired for Cat 6"
d	40649101	85312290	1134 Martin Luther King	Hayward	CA	94541	0	0	CONDO	563687	575403	4	3.5	1982	Tile	(null)	(null)	"2 Garage Spaces, Attached Garage, 2 Parking Spaces/Unit, Garage Door Opener"	Greenbelt	"220 Volt Outlet, Hookups Only, In Laundry Room, In Unit"	2014	3	(null)	(null)	Mediterranean	"Forced Air 2 Zones, Gas"	Central 2 or more Zones A/C	Stucco	(null)	194	Fire Sprinklers	0	0	0	0	141	"Brand New Gorgeous TH style condo. Bedroom and full bath on 1st flr. Great room, large windows, gourmet kitchen with Island, ideal for entertaining. Buy now and personalize to your taste with... flooring, counters, cabinets all of your choice! All conveniences near by!"
d	40650847	4223654	2448 Basswood Drive	San Ramon	CA	94582	37.769605	-121.914615	SFR	759000	860000	4	3	1811	Tile	3784	"Community Facility, Pool"	"2 Garage Spaces, Attached Garage"	(null)	220 Volt Outlet	2005	2	Y	Level	Contemporary	Central Gravity	Central 1 Zone A/C	Stucco	"Hardwood Floors, Wall to Wall Carpet"	126	(null)	1	0	0	0	44	"Beautiful Gale Ranch home loaded with upgrades. New wood floors, updated downstairs bathroom plus full bedroom down. Kitchen has granite counter tops, spacious center island, gas cooktop, designer paint. Yard features include a new built-in BBQ on a spacious patio. Open Sat & Sun 1:30-4:30"
a	81409868	11098498	2532 Hampton Avenue	Redwood City	CA	94061	37.45912552	-122.2357025	SFR	1179000	1488000	3	2.5	2170	Composition	10608	"In Ground Concrete, Sweep, Gas Heated"	"Detached, 2 Car Garage, Off Street Parking"	Neighborhood	"Gas Hookup In Laundry Area, 220 Volts In Laundry Area, Laundry Area - Inside"	1951	(null)	Y	Level	Ranch	Central Forced Air	Room Air  Conditioner	"Brick, Stucco"	"Tile, Hardwood, Linoleum or Vinyl"	(null)	"Double Pane Window(s), High Ceilings, Skylight(s), Vaulted or Cathedral Ceiling, Bay Window(s), Cable TV available, Ceiling Fan(s), Security Alarm System - Leased"	1	0	0	0	41	"Remodeled 2170 sf home on incredible large, private 10k+ lot in desirable woodside plaza. 3 br + bonus room that could be 4th bedroom/office, 2.5 baths. 2 car detached garage + separate studio w/full bath & kitchenette. Newly remodeled kitchen, spacious living room & separate large family room. Wonderful patio with trellis & pool in lovely, private backyard. Vaulted ceilings in fr & master. A 10!"
